Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
252,Fordham,A10,7-24,-7.82,100.2,108.0,67.3,+.027,+6.89,105.8,98.9,+5.03
253,Ball St.,MAC,15-15,-7.84,99.5,107.3,64.9,+.080,-3.98,100.3,104.3,-5.27
254,UTSA,WAC,10-22,-7.85,100.9,108.8,62.7,-.046,-1.08,101.3,102.3,-2.88
255,Texas St.,WAC,12-22,-8.00,101.1,109.1,70.5,+.009,-1.69,100.9,102.6,-5.70
256,Mississippi St.,SEC,10-22,-8.01,91.8,99.9,66.8,-.010,+4.36,104.4,100.1,-6.01
257,Central Connecticut,NEC,13-17,-8.18,101.8,109.9,68.8,+.056,-4.31,100.7,105.0,+0.28
258,Portland,WCC,11-21,-8.18,95.2,103.4,63.6,+.036,+3.94,105.8,101.8,-0.01
259,North Texas,SB,12-20,-8.30,97.2,105.5,65.3,-.023,-4.16,99.6,103.8,-3.92
260,Cleveland St.,Horz,14-18,-8.42,99.6,108.0,63.6,+.033,+1.71,103.7,102.0,+2.53
261,Cornell,Ivy,13-18,-8.68,99.9,108.6,66.1,+.028,-2.53,101.0,103.6,-2.00
262,Maine,AE,11-19,-8.80,97.3,106.1,67.8,+.020,-2.63,100.3,102.9,-0.80
263,NJIT,GWC,16-13,-8.82,94.6,103.4,65.9,-.048,-11.06,95.4,106.4,-7.89
264,Appalachian St.,SC,15-16,-8.90,99.4,108.3,66.5,+.011,-7.39,100.2,107.6,-3.85
265,TCU,B12,11-21,-9.36,93.4,102.7,59.5,+.090,+3.49,104.2,100.7,-10.81
266,Liberty,BSth,15-21,-9.38,101.3,110.6,64.4,-.034,-6.47,99.4,105.8,-0.41
267,New Hampshire,AE,9-20,-9.41,92.8,102.2,62.9,-.054,-3.11,100.4,103.5,-1.24
268,Sacred Heart,NEC,9-20,-9.66,101.5,111.1,66.9,+.007,-2.37,102.8,105.2,+4.71
269,Colgate,Pat,11-21,-9.66,97.6,107.3,65.6,+.002,-1.65,101.7,103.3,-2.14
270,Bethune Cookman,MEAC,14-20,-9.75,98.0,107.8,65.1,-.029,-6.38,97.6,104.0,+1.56
271,Tennessee Tech,OVC,12-17,-10.15,97.1,107.3,64.2,+.038,-2.85,102.0,104.8,-2.84
272,Eastern Illinois,OVC,11-21,-10.18,100.0,110.2,58.6,-.033,-5.49,99.6,105.1,-3.73
273,Hampton,MEAC,14-17,-10.21,89.2,99.4,68.7,+.031,-9.11,95.9,105.0,-5.12
274,Troy,SB,12-21,-10.31,99.1,109.4,59.4,+.005,-5.37,98.9,104.3,-8.51
275,Dartmouth,Ivy,9-19,-10.34,96.4,106.7,63.1,-.008,-2.60,101.5,104.1,-2.34
276,Old Dominion,CAA,5-25,-10.49,98.6,109.1,65.3,-.112,-2.79,102.2,105.0,-2.05
277,American,Pat,10-20,-10.51,98.0,108.5,58.5,+.004,-2.05,101.2,103.3,-2.63
278,Winthrop,BSth,14-17,-10.64,95.3,105.9,59.8,+.037,-5.09,99.0,104.1,+3.44
279,Sacramento St.,BSky,14-15,-10.81,97.0,107.9,61.3,+.050,-7.67,99.7,107.4,-2.41
280,Saint Peter's,MAAC,9-21,-11.07,92.8,103.9,62.7,+.049,-2.37,101.5,103.9,-6.54
281,Arkansas Pine Bluff,SWAC,16-14,-11.19,92.5,103.7,66.6,+.117,-8.50,96.6,105.1,+8.92
282,Georgia Southern,SC,14-19,-11.19,95.8,107.0,60.9,+.012,-5.56,100.0,105.6,-0.30
283,VMI,BSth,14-17,-11.33,102.3,113.6,69.7,-.022,-7.71,99.0,106.7,-1.05
284,Delaware St.,MEAC,15-18,-11.43,96.7,108.1,59.8,+.054,-5.90,96.7,102.6,+6.22
285,Southeastern Louisiana,Slnd,12-18,-11.49,94.0,105.5,65.0,+.054,-3.01,100.1,103.1,+8.47
286,UNC Greensboro,SC,9-22,-11.64,97.1,108.8,70.5,-.151,-7.11,99.4,106.5,+0.23
287,UNC Wilmington,CAA,10-20,-11.83,97.1,108.9,65.3,+.022,-2.50,101.6,104.1,+0.37
288,Jacksonville,ASun,14-18,-12.07,95.8,107.9,67.7,+.068,-5.38,99.8,105.2,-1.15
289,Lipscomb,ASun,12-18,-12.16,98.0,110.2,69.4,+.053,-3.37,101.2,104.6,+4.84
290,Nicholls St.,Slnd,9-21,-12.17,98.6,110.8,66.1,-.024,-4.75,99.8,104.6,+3.37
291,McNeese St.,Slnd,14-16,-12.23,96.0,108.2,62.9,+.089,-4.33,100.2,104.6,+5.79
292,Northern Arizona,BSky,11-21,-12.39,96.9,109.3,66.7,+.041,-3.98,101.2,105.2,+6.44
293,Samford,SC,11-21,-12.41,97.9,110.3,58.8,-.007,-6.30,99.2,105.5,+2.39
294,Central Arkansas,Slnd,13-17,-12.55,100.4,112.9,71.1,+.046,-7.25,97.6,104.9,-5.32
295,Utah Valley,GWC,14-18,-12.58,98.8,111.4,62.8,-.004,-7.32,97.9,105.2,-3.46
296,Radford,BSth,13-19,-12.66,91.3,104.0,66.1,+.008,-7.58,99.5,107.1,-2.43
297,Chicago St.,GWC,11-22,-12.67,91.1,103.7,65.5,-.083,-5.17,100.5,105.7,+1.39
298,Siena,MAAC,8-24,-12.74,95.4,108.1,62.6,+.021,-1.18,101.9,103.0,-2.48
299,Eastern Washington,BSky,10-21,-12.98,97.2,110.1,67.0,+.001,-6.59,100.8,107.4,-1.41
300,Campbell,BSth,13-20,-13.11,97.8,110.9,64.8,+.014,-7.31,99.0,106.3,-0.30
301,Milwaukee,Horz,8-24,-13.34,95.2,108.6,64.6,-.004,+0.59,102.6,102.0,-1.56
302,Montana St.,BSky,13-17,-13.38,100.4,113.8,64.8,+.032,-8.38,99.2,107.5,-5.82
303,Hofstra,CAA,7-25,-13.42,89.6,103.0,63.3,-.024,-2.01,102.4,104.4,-0.69
304,Portland St.,BSky,8-20,-13.47,103.5,117.0,63.9,-.102,-6.59,99.1,105.7,+4.25
305,San Jose St.,WAC,9-20,-13.50,90.8,104.3,65.8,+.021,-1.30,102.5,103.8,-5.46
306,Southern Utah,BSky,11-20,-13.60,92.1,105.7,67.9,-.001,-6.13,101.1,107.2,+2.78
307,SIU Edwardsville,OVC,9-18,-13.72,92.9,106.6,64.9,-.008,-5.25,100.5,105.8,-2.16
308,UMBC,AE,8-23,-13.90,95.7,109.6,65.9,-.010,-2.96,99.9,102.9,-1.54
309,Monmouth,NEC,10-21,-13.90,91.7,105.6,68.4,+.019,-4.32,101.3,105.7,+0.58
310,Chattanooga,SC,13-19,-14.12,97.7,111.8,66.2,+.018,-7.30,99.4,106.7,-2.92
311,Austin Peay,OVC,8-23,-14.41,98.8,113.3,67.5,-.071,-4.40,101.2,105.6,-1.99
312,Texas Pan American,GWC,16-16,-14.41,94.1,108.6,62.5,+.068,-9.25,96.7,106.0,-7.05
313,Coppin St.,MEAC,8-24,-14.53,93.2,107.7,66.9,-.038,-3.61,98.2,101.8,+6.28
314,UC Riverside,BW,6-25,-14.57,89.2,103.8,61.8,-.071,-1.92,103.6,105.5,-1.31
315,Texas A&M Corpus Chris,Slnd,6-23,-14.88,96.1,111.0,60.8,-.040,-3.23,101.0,104.3,+6.09
316,Jackson St.,SWAC,11-18,-14.94,93.9,108.8,67.4,-.015,-9.62,96.0,105.6,+8.89
317,Navy,Pat,8-23,-15.20,90.0,105.2,59.4,-.049,-4.13,100.5,104.6,-7.82
318,UMKC,Sum,8-24,-15.39,93.7,109.1,63.1,-.022,-3.02,102.4,105.4,-0.40
319,East Tennessee St.,ASun,10-22,-15.69,95.1,110.8,63.4,+.063,-1.85,102.3,104.1,+7.18
320,Idaho St.,BSky,6-24,-16.18,91.9,108.1,59.3,-.117,-4.99,101.6,106.6,+4.35
321,Nebraska Omaha,Sum,11-20,-16.33,101.8,118.1,70.9,+.095,-3.99,101.0,105.0,-1.90
322,Northern Illinois,MAC,5-25,-16.72,85.7,102.4,61.1,-.052,-2.03,101.8,103.8,-1.69
323,Alcorn St.,SWAC,10-24,-16.88,85.4,102.2,66.6,-.045,-6.84,98.3,105.1,+9.20
324,Prairie View A&M,SWAC,15-19,-17.29,88.0,105.3,66.0,+.026,-10.82,95.4,106.2,+1.08
325,Rice,CUSA,5-26,-17.45,96.0,113.4,61.5,-.032,-0.70,102.3,103.1,-4.97
326,Houston Baptist,GWC,14-17,-17.55,87.7,105.3,67.2,+.089,-9.08,96.5,105.6,-6.55
327,Louisiana Monroe,SB,4-23,-18.03,92.4,110.4,65.0,-.026,-1.61,100.6,102.2,+4.39
328,Florida A&M,MEAC,8-22,-18.34,89.5,107.9,67.5,+.003,-5.29,97.7,103.0,+1.98
329,Howard,MEAC,7-24,-18.42,84.1,102.5,61.0,-.044,-5.67,98.3,104.0,+5.88
330,St. Francis PA,NEC,5-24,-19.29,93.4,112.7,62.2,+.034,-3.89,102.6,106.5,+2.30
331,Alabama St.,SWAC,10-22,-19.71,92.3,112.0,64.8,+.006,-9.61,95.4,105.1,+3.16
332,Tennessee Martin,OVC,9-21,-20.18,93.8,113.9,66.6,+.071,-4.79,100.9,105.7,-2.42
333,IUPUI,Sum,6-26,-20.30,97.7,118.0,64.2,-.054,-2.68,102.5,105.2,-0.11
334,Fairleigh Dickinson,NEC,7-24,-20.47,94.0,114.5,66.1,+.029,-4.41,101.1,105.5,-0.56
335,Kennesaw St.,ASun,3-27,-20.69,91.8,112.5,63.0,+.004,-5.15,100.5,105.7,-2.21
336,Alabama A&M,SWAC,11-20,-20.70,90.8,111.5,64.9,-.004,-9.82,95.6,105.4,+5.74
337,The Citadel,SC,8-22,-20.88,98.4,119.2,64.0,-.005,-6.56,99.4,106.0,-1.23
338,Longwood,BSth,8-25,-21.61,94.6,116.2,69.2,-.004,-6.28,100.0,106.3,+0.51
339,Mississippi Valley St.,SWAC,5-23,-22.01,90.1,112.1,69.4,-.070,-8.30,96.4,104.7,+7.00
340,South Carolina St.,MEAC,6-24,-22.02,91.9,113.9,63.9,-.015,-5.55,96.5,102.1,+1.53
341,Presbyterian,BSth,8-24,-22.92,94.9,117.8,60.9,+.011,-5.50,99.7,105.2,+0.18
342,Furman,SC,7-24,-23.30,91.7,115.0,63.7,-.007,-6.25,99.5,105.7,-1.19
343,Binghamton,AE,3-27,-24.06,86.3,110.4,65.1,-.018,-3.28,99.9,103.2,-4.68
344,Maryland Eastern Shore,MEAC,2-26,-24.68,86.6,111.3,62.6,-.028,-4.66,96.8,101.5,+4.69
345,New Orleans,ind,8-18,-25.21,87.9,113.2,69.4,+.042,-7.06,98.4,105.5,-7.06
346,Lamar,Slnd,3-28,-25.40,85.9,111.3,69.0,+.023,-2.93,101.1,104.0,+3.76
347,Grambling St.,SWAC,0-28,-46.10,76.0,122.1,62.5,-.014,-8.79,96.6,105.4,+4.55
