Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
176,Drexel,CAA,14-14,-1.45,104.4,105.9,70.4,+.016,-1.40,102.2,103.6,-1.04
177,Long Beach St.,BW,12-17,-1.48,102.9,104.4,70.2,-.021,+0.75,103.9,103.1,+5.14
178,Northern Iowa,MVC,14-15,-1.49,108.2,109.7,66.9,+.055,+1.23,104.5,103.2,+3.10
179,Samford,ASun,15-14,-1.49,102.5,104.0,56.8,+.011,-2.89,103.4,106.3,+6.03
180,Niagara,MAAC,18-14,-1.64,106.6,108.2,69.5,+.024,-4.33,99.8,104.2,-1.71
181,Air Force,MWC,9-19,-1.64,103.8,105.5,54.2,-.015,+4.30,105.9,101.6,-0.75
182,Cal St. Northridge,BW,11-16,-1.66,98.7,100.4,69.8,-.011,+1.50,104.3,102.8,+7.01
183,East Carolina,CUSA,10-18,-1.78,102.3,104.1,65.0,+.037,+5.93,105.1,99.2,-0.66
184,Buffalo,MAC,12-18,-1.84,99.6,101.4,67.7,-.034,+0.14,105.0,104.9,-3.46
185,Jacksonville,ASun,16-12,-1.98,98.7,100.7,66.7,-.021,-5.92,101.6,107.5,-4.75
186,Northern Illinois,MAC,12-16,-2.00,105.6,107.6,72.1,-.007,-0.24,105.0,105.3,-1.93
187,Louisiana Monroe,Slnd,19-12,-2.00,99.9,101.9,70.1,+.138,-2.89,100.8,103.7,+10.95
188,Boise St.,WAC,12-17,-2.21,98.2,100.4,65.2,+.016,+2.30,104.6,102.3,-3.11
189,UTEP,WAC,9-22,-2.36,101.3,103.7,67.7,-.087,+2.72,105.4,102.7,+1.06
190,Vermont,AE,21-8,-2.41,105.8,108.2,68.1,+.026,-12.20,96.1,108.3,-7.00
191,Florida Atlantic,ASun,18-12,-2.50,99.6,102.1,70.2,+.060,-4.94,102.2,107.1,-4.52
192,West Virginia,BE,7-20,-2.62,103.4,106.1,72.0,-.029,+7.12,106.5,99.3,-0.46
193,Cleveland St.,Horz,12-16,-2.66,97.6,100.3,68.7,-.035,-1.20,104.0,105.2,-5.91
194,Boston University,AE,22-10,-2.74,101.3,104.0,64.5,+.102,-9.18,97.7,106.9,+0.25
195,Gardner Webb,ind,13-8,-2.84,101.4,104.3,73.6,+.077,-4.20,100.8,105.0,+2.08
196,Radford,BSth,14-16,-2.88,98.0,100.9,69.8,-.104,-6.96,99.1,106.1,+4.34
197,Austin Peay,OVC,11-18,-2.98,99.4,102.4,67.3,-.037,+0.02,104.6,104.6,+10.17
198,Penn St.,B10,7-21,-3.16,99.3,102.4,67.7,-.032,+8.23,108.3,100.0,-2.03
199,Wagner,NEC,19-10,-3.17,103.1,106.2,73.3,+.017,-10.18,97.9,108.1,+0.12
200,George Washington,A10,12-16,-3.19,102.7,105.9,70.7,+.089,+3.96,105.5,101.6,+1.81
